i0,idx,s0,novelty,sid,genre,human_ans
1127,5542,"They believe they have found a cheap, practical means of preventing dolphins entangling themselves in monofilament drift fishing nets — the ‘<b>walls</b> of death’ believed to be responsible for killing large numbers of dolphins off Cornwall this year.",0.219,ahl-fragment02-7,NEWS,barriers prison enclosure
1128,5547,"So far they have received nothing from the Government, little EC <b>assistance</b> and are running out of funds donated by individuals and industry.",0.152,ahl-fragment02-9,NEWS,aid help money
1129,5549,"So far they have received nothing from the Government, little EC assistance and are running out of funds <b>donated</b> by individuals and industry.",-0.118,ahl-fragment02-9,NEWS,given gifted bequeathed
1130,5563,"Mr Goodson, who became interested in the sonar capacity of dolphins after hearing one while swimming off the Welsh coast, has experimented with various shapes of sound <b>reflectors</b>.",0.5,ahl-fragment02-16,NEWS,detectors mirrors
1131,5570,"In the Moray Firth, they placed a ‘headline barrier’, from which they had suspended <b>reflectors</b> at two-metre intervals.",0.412,ahl-fragment02-20,NEWS,mirrors
1132,5572,"The movement of dolphins around the barrier was observed, using electronic equipment to monitor sonar <b>activity</b>.",0.219,ahl-fragment02-21,NEWS,movement behavior processes
1133,5575,"Dolphins swimming near the barrier altered their behaviour to avoid it, the result, the scientists believe, of them detecting sonar echoes from the <b>reflectors</b>.",0.303,ahl-fragment02-23,NEWS,mirrors surface sensors instruments mirror
1134,5580,"The scientists hope to <b>raise</b> £100,000 through an appeal by Windsor Safari Park.",0.0,ahl-fragment02-27,NEWS,make collect reach elicit
1135,5581,"The scientists hope to raise £100,000 through an <b>appeal</b> by Windsor Safari Park.",0.111,ahl-fragment02-27,NEWS,petition call plead
1136,5598,"The management of the Kirov, that other opera house in St Petersburg, are <b>furious</b>.",0.094,ajf-fragment07-203,NEWS,angry enraged maddened
1137,5603,"Both are presenting the <b>great</b> Russian warhorses, Boris Godunov and The Queen of Spades.",-0.242,ajf-fragment07-205,NEWS,famous classic grand extraordinary
1138,5619,"LA MAMA ETC — for ‘Experimental Theatre Company’ — is a tiny <b>cauldron</b> of a theatre on the Lower East Side, the creation of the extraordinary Ellen Stewart.",0.559,ajf-fragment07-216,NEWS,pan idea powerhouse
1139,5623,"Like any house that's demanding, idiosyncratic, small and truly experimental, it's in <b>trouble</b> — $150,000 in the red, with the serious prospect of closing.",-0.059,ajf-fragment07-217,NEWS,danger difficulty bother
1140,5645,"Political correctness, just as we suspected, will be perfectly <b>grey</b>.",0.235,ajf-fragment07-231,NEWS,vague boring uncertain dull
1141,5653,"An earlier film by Raphael, The Persuaders (1986), <b>charted</b> the transformation of Ricki into Rytasha, which occurred at the Hare Krishna Temple in London, and her uneasy relationship with her guru there.",0.4,al0-fragment06-182,NEWS,plotted followed recorded chronicled
1142,5666,"’ With no trace of a smile or a blush the baroness quickly corrected herself — ‘an irrigation system’ — but the <b>slip</b> was a telling one, and I'm sure they would have appreciated it in Bangladesh.",0.25,al0-fragment06-187,NEWS,mistake omission
1143,5669,"It is devoted instead to the <b>worship</b> of the charitable Rytasha, who is not content simply to hand over the cash but insists, in an unfortunate hangover from her Hare Krishna days, on posturing as ‘a spiritual master’.",-0.188,al0-fragment06-191,NEWS,adoration praise image veneration
1144,5673,Nor could the vaunted irrigation scheme be described as an <b>unqualified</b> success.,0.171,al0-fragment06-193,NEWS,uncertificated uncertified outright unprecedented positive unreserved
1145,5674,"The money ran out before the scheme's completion, and the villagers <b>found</b> themselves obliged to borrow the rest.",-0.294,al0-fragment06-194,NEWS,discovered endow felt deemed
1146,5677,"The most irritating thing about Rytasha — and there were many — was that, though she does not speak their language, she presumes to teach them a spurious <b>form</b> of their own religion.",-0.125,al0-fragment06-198,NEWS,version way variation incarnation
1147,5680,"‘One thing we don't need in this subcontinent,’ Professor Rokeya Kabeer observed, ‘is spiritual guidance — we have gurus a <b>dime</b> a dozen.’",0.088,al0-fragment06-199,NEWS,butt-load many penny nickel few
1148,5683,"They are far too civilised for that sort of thing in Bangladesh, but I kept thinking wistfully of T. S. Eliot's <b>lines</b> in Sweeney Agonistes about ‘a nice little white little missionary stew’.",-0.235,al0-fragment06-200,NEWS,words prose phrase
1149,5687,City Comment: There's spring in the <b>step</b> of the stock market,-0.062,al2-fragment16-174,NEWS,air walk
1150,5689,"Prices have remained <b>high</b>-indeed the FT-SE index has risen another 55 points since then — allowing even the most passive of private investors, including unit trust holders, to take advantage of the market.",-0.03,al2-fragment16-176,NEWS,elevated increased expensive steep
1151,5692,"Prices have remained high-indeed the FT-SE index has risen another 55 points since then — <b>allowing</b> even the most passive of private investors, including unit trust holders, to take advantage of the market.",-0.083,al2-fragment16-176,NEWS,enabling permitting authorizing
1152,5693,"Prices have remained high-indeed the FT-SE index has risen another 55 points since then — allowing even the most passive of private investors, including unit trust <b>holders</b>, to take advantage of the market.",0.152,al2-fragment16-176,NEWS,owners carriers bearers members
1153,5696,The 10 p.c. gain since election day is <b>looking</b> increasingly sustainable.,-0.129,al2-fragment16-177,NEWS,appearing seeing proving seeming
1154,5697,"It is not that <b>prospects</b> for earnings are 10 p.c. better that they were in the middle of last week, but it is possible to argue that prospects are that much better than they would have been under a Labour government and that the market was discounting such a result.",0.529,al2-fragment16-178,NEWS,expectations chances possibilities projections
1155,5701,"It is not that prospects for earnings are 10 p.c. better that they were in the middle of last week, but it is possible to argue that prospects are that much better than they would have been under a Labour government and that the <b>market</b> was discounting such a result.",0.057,al2-fragment16-178,NEWS,stock marketplace exchange consumer
1156,5703,The FT-SE <b>failed</b> to hold its gains yesterday but shortly after opening it was only six points away from last September's previous record closing level.,-0.176,al2-fragment16-179,NEWS,crashed stalled flopped
1157,5706,The FT-SE failed to hold its gains yesterday but shortly after opening it was only six <b>points</b> away from last September's previous record closing level.,-0.059,al2-fragment16-179,NEWS,values marks
1158,5707,The FT-SE failed to hold its gains yesterday but shortly after opening it was only six points away from last September's previous record closing <b>level</b>.,0.324,al2-fragment16-179,NEWS,amount grade standing mark
1159,5720,The City view is that the fall in corporate <b>earnings</b> has stopped and that next year's increase could be around 15 p.c.,0.1,al2-fragment16-181,NEWS,income wages pay
1160,5729,The increase will not be matched by dividend <b>rises</b> — too many companies have been paying more than they could afford over the past two years and need to repair their reserves and ratios — but 7 p.c. growth looks reasonable.,0.0,al2-fragment16-183,NEWS,increases
1161,5732,The increase will not be matched by dividend rises — too many companies have been paying more than they could afford over the past two years and need to <b>repair</b> their reserves and ratios — but 7 p.c. growth looks reasonable.,0.029,al2-fragment16-183,NEWS,replenish bolster readjust fix
1162,5741,"The market yield, a historic 4¾ p.c., could return back above 5 p.c., therefore giving basic-rate taxpayers a real return with the prospect of real <b>growth</b> too.",0.091,al2-fragment16-184,NEWS,appreciation expansion improvement profit development
1163,5745,"Not all problems have gone away of course: yesterday's £6.4 billion public sector borrowing requirement is not much <b>higher</b> than expectations, but it is almost as large as the deficit for the previous 11 months and — with this year's deficit forecast to be double last year's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales.",-0.258,al2-fragment16-185,NEWS,greater better
1164,5747,"Not all problems have gone away of course: yesterday's £6.4 billion public sector borrowing requirement is not much higher than expectations, but it is almost as large as the deficit for the previous 11 months and — with this year's deficit forecast to be double last year's — <b>shows</b> why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales.",-0.242,al2-fragment16-185,NEWS,demonstrates indicates highlights is explains
1165,5759,City: Lloyd's <b>members</b> fail in bid to protect cash fund,0.0,al2-fragment23-252,NEWS,people users population associate underwriters
1166,5760,MORE than 800 Lloyd's of London <b>members</b> on syndicates managed by the loss-making Gooda Walker agency have failed in their legal attempt to prevent Lloyd's and members' agents from drawing down their funds.,0.176,al2-fragment23-254,NEWS,participants affiliates subscribers party representatives
1167,5761,MORE than 800 Lloyd's of London members on syndicates <b>managed</b> by the loss-making Gooda Walker agency have failed in their legal attempt to prevent Lloyd's and members' agents from drawing down their funds.,0.0,al2-fragment23-254,NEWS,controlled operated directed conducted monitored overseen lead
1168,5762,MORE than 800 Lloyd's of London members on syndicates managed by the loss-making Gooda Walker agency have failed in their legal attempt to prevent Lloyd's and <b>members</b>' agents from drawing down their funds.,-0.121,al2-fragment23-254,NEWS,affiliates customers clients
1169,5763,MORE than 800 Lloyd's of London members on syndicates managed by the loss-making Gooda Walker agency have failed in their legal attempt to prevent Lloyd's and members' agents from <b>drawing</b> down their funds.,-0.097,al2-fragment23-254,NEWS,taking
1170,5771,"In an earlier than expected Commercial Court judgment, Mr Justice Saville found that the <b>members</b> had not produced enough evidence of irregularities in the ‘LMX spiral’, which sends catastrophe risks swirling round the market to stop the usual process of calling on cash deposits to make good syndicate losses.",0.091,al2-fragment23-257,NEWS,parties group
1171,5774,"In an earlier than expected Commercial Court judgment, Mr Justice Saville found that the members had not produced enough evidence of irregularities in the ‘LMX <b>spiral</b>’, which sends catastrophe risks swirling round the market to stop the usual process of calling on cash deposits to make good syndicate losses.",0.424,al2-fragment23-257,NEWS,swirl coil
1172,5775,"In an earlier than expected Commercial Court judgment, Mr Justice Saville found that the members had not produced enough evidence of irregularities in the ‘LMX spiral’, which <b>sends</b> catastrophe risks swirling round the market to stop the usual process of calling on cash deposits to make good syndicate losses.",-0.294,al2-fragment23-257,NEWS,causes indicates makes deploys creates
1173,5777,"In an earlier than expected Commercial Court judgment, Mr Justice Saville found that the members had not produced enough evidence of irregularities in the ‘LMX spiral’, which sends catastrophe risks swirling round the <b>market</b> to stop the usual process of calling on cash deposits to make good syndicate losses.",-0.029,al2-fragment23-257,NEWS,exchange
1174,5780,"In an earlier than expected Commercial Court judgment, Mr Justice Saville found that the members had not produced enough evidence of irregularities in the ‘LMX spiral’, which sends catastrophe risks swirling round the market to stop the usual process of calling on cash <b>deposits</b> to make good syndicate losses.",-0.088,al2-fragment23-257,NEWS,payments inputs holdings amounts
1175,5787,"The members, many of whom are unable to fulfil the latest £101m cash call due on March 2 to <b>cover</b> 1989–90 losses on syndicates were seeking an interim injunction to stop members' agents and Lloyd's dipping into their security.",-0.226,al2-fragment23-260,NEWS,offset pay include
1176,5788,"The members, many of whom are unable to fulfil the latest £101m cash call due on March 2 to cover 1989–90 losses on syndicates were <b>seeking</b> an interim injunction to stop members' agents and Lloyd's dipping into their security.",-0.059,al2-fragment23-260,NEWS,pursuing exploring requesting
1177,5796,"They were challenging the ‘pay now sue later’ principle at Lloyd's, which says names should pay cash calls first and <b>fight</b> them later.",-0.031,al2-fragment23-261,NEWS,contest defend battle challenge argue
1178,5801,"‘We have every sympathy with those who have made substantial underwriting losses in recent years but Lloyd's owes its first <b>duty</b> to policyholders with valid claims which must be met,’ he said.",0.029,al2-fragment23-263,NEWS,responsibility commitment priority principle
1179,5808,"Earlier this month, preliminary findings from an investigation by Kenneth Randall found that the Gooda Walker agency may have overstated its syndicates' profits between 1981 and 1988 through the use of time and distance policies, about which it had <b>failed</b> to inform its auditors in at least one syndicate.",0.0,al2-fragment23-265,NEWS,thwarted neglected stalled omitted declined
1180,5813,"Peter Nutting, who led the association of Outhwaite members to a succesful settlement, said he sympathised with Gooda Walker names, but ‘if the names were not going to <b>pay</b> these calls, who did they think was going to pay them?’",0.167,al2-fragment23-266,NEWS,cover reimburse finance accept acknowledge
1181,5815,"Meanwhile, <b>members</b> who were not part of the £116m Outhwaite out-of-court settlement have voted to press their claims for compensation through the 1992 Outhwaite Names Association.",-0.161,al2-fragment23-267,NEWS,associates constituents
1182,5817,"Meanwhile, members who were not part of the £116m Outhwaite out-of-court <b>settlement</b> have voted to press their claims for compensation through the 1992 Outhwaite Names Association.",0.167,al2-fragment23-267,NEWS,agreement resolvement arrangement
1183,5822,It plans to issue a protective writ but is hoping to <b>achieve</b> a settlement.,0.0,al2-fragment23-268,NEWS,attain win merit reach
1184,5823,It plans to issue a protective writ but is hoping to achieve a <b>settlement</b>.,0.088,al2-fragment23-268,NEWS,agreement
1185,5824,‘The NHS is not for sale’ Virginia Bottomley talks to George Jones in her first interview since <b>joining</b> the Cabinet,0.0,al5-fragment03-15,NEWS,filling entering
1186,5834,"Labour <b>sought</b> to turn the general election into a referendum on the NHS, asking voters for a mandate to reverse the changes.",0.1,al5-fragment03-19,NEWS,attempted looked want wanted
1187,5842,"In her first full interview since being appointed Health Secretary, she said the election result, and Mr Major's unequivocal commitment to the NHS, had finally ‘<b>nailed</b> the lie’ about privatisation of health care.",0.303,al5-fragment03-21,NEWS,exposed busted proved confirmed disproved
1188,5844,"It will continue to be true to its <b>founding</b> principles, available to all and free at the point of delivery,’ she said.",0.059,al5-fragment03-24,NEWS,original root authorising
1189,5845,"It will continue to be true to its founding principles, available to all and <b>free</b> at the point of delivery,’ she said.",-0.061,al5-fragment03-24,NEWS,complimentary cost-free exempt costless
1190,5846,"It will continue to be true to its founding principles, available to all and free at the <b>point</b> of delivery,’ she said.",-0.062,al5-fragment03-24,NEWS,moment site time
1191,5850,She recalled a promise made by Mr Major when he became Prime Minister: that he would work for a nation at <b>ease</b> with itself.,0.371,al5-fragment03-25,NEWS,peace calm
1192,5860,"She pledged that the Government would safeguard those that did not opt for trust <b>status</b>, but she expected this to be a minority.",-0.152,al5-fragment03-32,NEWS,position condition standing recognition distinction
1193,5869,The election result has <b>given</b> the Conservatives five years in which to press ahead with the changes.,-0.273,al5-fragment03-34,NEWS,handed granted provided set
1194,5881,"Mrs Bottomley's first big test as Health Secretary will come this summer with the annual public spending round, which will be conducted against a <b>background</b> of concern over high Government borrowing and pressure from the Tory Right for public spending cuts.",0.194,al5-fragment03-39,NEWS,backdrop history
1195,5883,"Mrs Bottomley's first big test as Health Secretary will come this summer with the annual public spending round, which will be conducted against a background of concern over high Government borrowing and <b>pressure</b> from the Tory Right for public spending cuts.",0.0,al5-fragment03-39,NEWS,desire insistence influence tension force
1196,5890,"Mrs Bottomley, representing ‘<b>caring</b> Conservatism’, will face Mr Michael Portillo, the new Treasury Chief Secretary, who is equally keen to establish his Right-wing credentials by demonstrating he can keep keep a tight grip on the public purse strings.",0.033,al5-fragment03-41,NEWS,kind considerate empathetic
1197,5896,She acknowledged that there could be difficult times <b>ahead</b>.,0.265,al5-fragment03-42,NEWS,coming after
1198,5898,"‘It will always be the case that the holder of my office will need to <b>fight</b> the corner of the health service and there will always, inevitably, be more than we can do.’",0.156,al5-fragment03-43,NEWS,tackle support oppose contest battle
1199,5907,"Her priorities include giving more encouragement to medical research; emphasis on preventive health to make the NHS a ‘health as well as a sickness service’, with the publication shortly of new national <b>targets</b> for reducing deaths from heart disease and cancers; and pressing ahead with care in the community.",0.206,al5-fragment03-46,NEWS,goals select standards
1200,5908,"Her priorities include giving more encouragement to medical research; emphasis on preventive health to make the NHS a ‘health as well as a sickness service’, with the publication shortly of new national targets for <b>reducing</b> deaths from heart disease and cancers; and pressing ahead with care in the community.",0.0,al5-fragment03-46,NEWS,decreasing lowering limiting
1201,5915,"Mrs Bottomley's <b>rise</b> to the top has been swift, with only four years between her first ministerial post and a seat at the Cabinet table.",-0.152,al5-fragment03-50,NEWS,succession ascent leap ascend climb
1202,5917,"Mrs Bottomley's rise to the top has been <b>swift</b>, with only four years between her first ministerial post and a seat at the Cabinet table.",0.0,al5-fragment03-50,NEWS,quick rapid
1203,5921,"‘Prime Ministers always have to consider balance in the Cabinet — and at least we now have the same number of women as old Etonians in John Major's <b>team</b>,’ she said.",-0.118,al5-fragment03-52,NEWS,group party board cabinet
1204,5924,"The Government White Paper Crime, Justice and Protecting the Public <b>proposes</b> a radical change for probation practice.",0.273,alp-fragment01-6,ACPROSE,suggests presents
1205,5930,"Probation officers, it is argued, are concerned with establishing rules for probationers and not inflicting <b>pain</b> on them.",-0.229,alp-fragment01-9,ACPROSE,discomfort agony fortitude injuries
1206,5937,The efficacy of the alcohol project and the non-punitive paradigm is demonstrated by the results reported from a three year evaluation study <b>covering</b> 152 offenders.,0.242,alp-fragment01-13,ACPROSE,encompassing on revealing off
1207,5941,"The article concludes with an affirmation of the disciplined but non-punitive character of current probation work and argues that, to successfully protect the public and reintegrate offenders into the community, the probation officer's employment of established social work knowledge, skills, and values is a <b>strength</b> not a weakness.",-0.091,alp-fragment01-14,ACPROSE,asset positive merit benefit toughness
1208,5947,"The aim of this article is to challenge the assertion contained in the White Paper Crime, Justice and Protecting the Public (Home Office, 1990a) that probation practice can be conceived of as a <b>form</b> of punishment in the community.",0.059,alp-fragment01-15,ACPROSE,type means
1209,5952,Issue will be taken with the appropriateness of applying the concept of punishment to the probation context through reference to a demanding and <b>successful</b> probation project concerned with offenders in trouble through drink.,0.0,alp-fragment01-16,ACPROSE,fruitful victorious fortunate
1210,5953,Issue will be taken with the appropriateness of applying the concept of punishment to the probation context through reference to a demanding and successful probation project <b>concerned</b> with offenders in trouble through drink.,0.086,alp-fragment01-16,ACPROSE,working focused conjunctive perturbed
1211,5954,"In describing the project, a non-punitive <b>model</b> for understanding probation practice will be developed.",0.094,alp-fragment01-17,ACPROSE,framework paradigm copy version standard
1212,5956,"This non-punitive paradigm will provide a <b>framework</b> for contrasting the efficacy of current practice with future plans inappropriately to transform probation work into ‘a new approach to punishment in the community’ (p. 18, para. 4.3).",0.206,alp-fragment01-18,ACPROSE,methodology basis foundation structure template
1213,5957,"This non-punitive paradigm will provide a framework for contrasting the efficacy of current practice with future <b>plans</b> inappropriately to transform probation work into ‘a new approach to punishment in the community’ (p. 18, para. 4.3).",-0.088,alp-fragment01-18,ACPROSE,projects happenings intentions goal
1214,5962,The punitive approach anticipated for the Probation Service in the White Paper is underpinned by a definition of punishment that <b>resides</b> ‘in the restrictions on liberty and in the enforcement of the orders’.,0.382,alp-fragment01-19,ACPROSE,lives dwells states occupy occurs
1215,5977,"Discourses on punishment and dictionary definitions of the term clearly specify the central feature of punishment as being the infliction of pain rather than the <b>loss</b> of liberty per se (Hudson, 1987).",-0.121,alp-fragment01-22,ACPROSE,deprivation lack failure
1216,5980,In these <b>sections</b> punishment will be understood to mean the infliction of pain and the review of the project will seek to demonstrate that the probation practice described is not only more demanding but also more effective than this traditional understanding of punishment.,0.176,alp-fragment01-25,ACPROSE,areas segments parts
1217,5995,"However, this fails to acknowledge a fundamental axiom of social work practice; namely that language not only reflects but also <b>shapes</b> social reality.",-0.176,alp-fragment01-28,ACPROSE,forms creates defines frames
1218,5996,"As Davies (1981) has <b>pointed</b> out, speech is the basic tool of the social worker.",0.083,alp-fragment01-29,ACPROSE,spoken indicated spelled
1219,6000,If punishment is assimilated into the probation glossary it will inevitably influence the sort of practice the Service <b>undertakes</b>.,0.167,alp-fragment01-31,ACPROSE,provides participate assumes
1220,6002,"In the sections to <b>follow</b> the stark question is therefore put ‘Is the Probation Service in the business of inflicting pain?’ and the answer which unfolds may be summarized ‘No, because it neither aspires nor wishes to!’",-0.194,alp-fragment01-32,ACPROSE,proceed come accompany
1221,6003,"In the sections to follow the <b>stark</b> question is therefore put ‘Is the Probation Service in the business of inflicting pain?’ and the answer which unfolds may be summarized ‘No, because it neither aspires nor wishes to!’",-0.061,alp-fragment01-32,ACPROSE,clear distinct striking blatant blunt
1222,6007,"In the sections to follow the stark question is therefore put ‘Is the Probation Service in the business of inflicting pain?’ and the answer which unfolds may be summarized ‘No, because it neither <b>aspires</b> nor wishes to!’",0.194,alp-fragment01-32,ACPROSE,desires aims hopes seeks
1223,6013,Almost a century later the new approach to punishment in the community <b>outlined</b> by the White Paper once again presents alcohol misuse as a key problem requiring community-based intervention.,0.094,alp-fragment01-36,ACPROSE,highlighted set set-out recorded defined described
1224,6023,"They learn about the relative <b>strength</b> of different drinks, the amount which is safe to consume, and the pitfalls to avoid (e.g. competitive drinking and buying ‘rounds’) (p. 37, para. 7.11).",-0.059,alp-fragment01-40,ACPROSE,potency power vigor concentration
1225,6028,"Furthermore, it <b>highlights</b> the suitability of referring to this type of project for testing out the appropriateness of applying the notion of punishment to probation practice.",0.161,alp-fragment01-43,ACPROSE,underlines reflects emphasizes
1226,6032,"Aware of practitioners' frustration in not being able to work effectively with these problematic clients, Probation <b>management</b>, in partnership with the voluntary sector, determined to develop an Alcohol Education Course (AEC).",0.057,alp-fragment01-45,ACPROSE,leadership leaders service administration
1227,6037,Towards the end of 1986 an AEC was <b>launched</b> and has been running ever since.,0.2,alp-fragment01-47,ACPROSE,introduced started initiated
1228,6050,"To encourage the <b>maintenance</b> of, or, where appropriate, a reduction to a personally and socially safe level of alcohol unit intake.",0.382,alp-fragment01-56,ACPROSE,continuation preservation care management consistency
1229,6052,"To meet these objectives the AEC has a structured programme involving group and individual <b>contact</b>, that is, six group sessions sandwiched between one-to-one interviews held immediately before and after the group con act.",0.0,alp-fragment01-57,ACPROSE,communication interviews projects interaction
1230,6059,"The initial one-to-one meeting, held with one of the two group leaders, serves to clarify what participants can expect from the <b>course</b> and what is expected of them.",0.029,alp-fragment01-58,ACPROSE,program goal curriculum scheme
1231,6063,"The final interview entails a personalized review of the <b>course</b>, as well as the formulation of a follow-up plan to be undertaken with the offender's supervising officer.",0.062,alp-fragment01-60,ACPROSE,programme day activity program
1232,6064,"The final interview entails a personalized review of the course, as well as the <b>formulation</b> of a follow-up plan to be undertaken with the offender's supervising officer.",0.364,alp-fragment01-60,ACPROSE,creation devising development
1233,6088,From the description of the AEC already given the <b>demanding</b> and disciplined nature of the course can be appreciated.,0.364,alp-fragment01-67,ACPROSE,challenging taxing difficult stringent
1234,6089,From the description of the AEC already given the demanding and disciplined <b>nature</b> of the course can be appreciated.,-0.029,alp-fragment01-67,ACPROSE,character attributes atmosphere essence environment
1235,6093,"However, the course is not punitive; it is not concerned with the infliction of <b>pain</b>.",-0.176,alp-fragment01-68,ACPROSE,suffering hurting harm
1236,6098,This is plainly evident from the section of the contract signed by each participant where what is expected of them is <b>spelt</b> out:,0.303,alp-fragment01-70,ACPROSE,laid diagrammed pointed
1237,6101,You must be willing to be helped and help others — your experiences will be useful to other group <b>members</b>.,0.265,alp-fragment01-72,ACPROSE,participants associates individuals
1238,6107,"As has been demonstrated elsewhere with regard to the generic probation setting (Singer, 1989), the supervision of offenders involves two overarching <b>aims</b>: namely support and surveillance.",-0.088,alp-fragment01-78,ACPROSE,goals purpose objectives
1239,6114,"Although summarized as an alcohol education <b>course</b>, the sessions are not just concerned with giving information but also with enabling participants to make practical use of it.",0.0,alp-fragment01-83,ACPROSE,training workshop program syllabus programme
1240,6134,The <b>aim</b> at the end of the session is to encourage participants to make rules for their future drinking which will lead to a lessening of identified problems (p. 4).,0.212,alp-fragment01-90,ACPROSE,goal point intention plan target
1241,6142,"The use of role play, incorporating previously discussed difficulties (i.e. homework assignment session 4) in ‘real’ or set up <b>situations</b> provides an opportunity for testing these skills.",-0.059,alp-fragment01-93,ACPROSE,conditions scenarios circumstances cases
1242,6148,"In the second half of the session, <b>course</b> leaders sponsor participants to an evening at the pub for the purpose of practising drinking skills and purchasing non-alcoholic drinks.",-0.212,alp-fragment01-95,ACPROSE,class activity programme college
1243,6153,"The counselling, assisting, directing, and monitoring on the AEC give substance to the aims of support and surveillance and provide the basis for establishing a <b>model</b> of probation practice.",0.088,alp-fragment01-96,ACPROSE,example framework standard version
1244,6159,Twenty years later the AEC <b>demonstrates</b> that this remains no less true now than it was then.,0.242,alp-fragment01-100,ACPROSE,shows emphasizes
1245,6163,"In this chapter some of the <b>ways</b> in which palaeontologists determine the way fossil animals lived are described, reanimating the dead fragments to build up a living creature.",-0.147,amm-fragment02-1594,ACPROSE,methods manners techniques methodologies
1246,6180,Many different <b>lines</b> of evidence may be used to flesh out the bare bones of the fossils.,-0.062,amm-fragment02-1598,ACPROSE,types parts bands borders
1247,6183,"It is important to establish whether the fossil animal actually lived in the environment which <b>furnished</b> its sedimentary cover, or whether its remains were swept in from some other place.",0.273,amm-fragment02-1601,ACPROSE,provided gave decorated
1248,6195,"The character of the rocks, and their setting in the past geography at the time when they accumulated, <b>diagnoses</b> the climatic setting in which the extinct fauna lived, and climate imposes certain restraints on possible modes of life.",0.235,amm-fragment02-1606,ACPROSE,determines prognosis identify identifies analyses
1249,6198,"Savannah animals differ from those of tropical rain forests, and these again from <b>inhabitants</b> of the tundra at high latitudes.",0.2,amm-fragment02-1607,ACPROSE,occupants populace residents populations terrain creatures
1250,6201,To proceed from the <b>reconstruction</b> to an assessment of probable life habits two different but complementary approaches are used.,0.353,amm-fragment02-1610,ACPROSE,rebuilding
1251,6210,"But the structure and functioning of grinding or chewing teeth in other mammals, in which <b>opposing</b> teeth co-operate in action, and which can be matched in extinct, unrelated mammals, is a much more subtle matter, involving detailed studies on the operation of living dental systems to help elucidate the functioning of fossil ones.",0.294,amm-fragment02-1615,ACPROSE,opposite diametric conflicting
1252,6214,"The technique of ‘hunt the analogue’ is a favourite one practised by palaeontologists, but it is certainly not a foolproof one, because there are many fossil animals that <b>defy</b> comparison with living organisms, and some analogues do not stand up to detailed scrutiny.",0.139,amm-fragment02-1616,ACPROSE,withstand disregard resist
1253,6215,"The technique of ‘hunt the analogue’ is a favourite one practised by palaeontologists, but it is certainly not a foolproof one, because there are many fossil animals that defy comparison with living organisms, and some analogues do not <b>stand</b> up to detailed scrutiny.",0.029,amm-fragment02-1616,ACPROSE,hold
1254,6219,"If the fossil is constructed in a certain way, then there are only a limited number of ‘jobs’ that the structure could <b>perform</b>.",0.147,amm-fragment02-1618,ACPROSE,do enact achieve display fulfil
1255,6221,This <b>assumes</b> that nature only manufactures efficient designs.,0.265,amm-fragment02-1620,ACPROSE,supposes preposes presumes expects
1256,6227,"Most animals today do seem to have bodies that accord well with the functions they have to carry out to survive: <b>flyers</b> are aerodynamically efficient, active swimmers have suitable streamlining, herbivorous mammals have teeth appropriate for grinding plant food, and so on.",0.294,amm-fragment02-1622,ACPROSE,airborne
1257,6228,"Most animals today do seem to have bodies that accord well with the functions they have to carry out to survive: flyers are aerodynamically efficient, active <b>swimmers</b> have suitable streamlining, herbivorous mammals have teeth appropriate for grinding plant food, and so on.",0.455,amm-fragment02-1622,ACPROSE,bathers
1258,6240,"Since many kinds of trilobites co-existed at any one time they were probably <b>occupying</b> different ecological niches, >behaving in different ways, corresponding with the wide variation in shape that they show.",0.059,amm-fragment02-1629,ACPROSE,inhabiting filling engaging
1259,6244,"Since many kinds of trilobites co-existed at any one time they were probably occupying different ecological niches, >behaving in different ways, corresponding with the wide variation in shape that they <b>show</b>.",-0.257,amm-fragment02-1629,ACPROSE,display present illustrate showcase
1260,6248,"We can use the methods described above to elucidate some of these occupations, and get a <b>glimpse</b>, albeit an imperfect one, of the trilobite as it lived.",0.091,amm-fragment02-1630,ACPROSE,taste glance idea view
1261,6253,"Most trilobites were broadly oval-shaped being rather longer than wide, not greatly convex, and with eyes that <b>occupy</b> perhaps a quarter of the length of the head.",0.312,amm-fragment02-1632,ACPROSE,fill prevail
1262,6276,"The convex, middle part of the thorax contained the musculature that <b>operated</b> the appendages (which, as usual, are not preserved), and the relatively large volume of this region shows that the musculature was powerful.",0.062,amm-fragment02-1649,ACPROSE,controlled moved utilised
1263,6284,"The analogy is found in such ocean-going amphipods (a kind of ‘shrimp’) as Cystosoma, which also has enormously expanded eyes, looking like headlamps, compared with its bottom-dwelling <b>relatives</b> (see above).",0.312,amm-fragment02-1652,ACPROSE,family kin cousins counterparts
1264,6291,"The outline of the soft parts are also clearly displayed, so that the animal has been preserved almost in <b>frozen</b> motion.",0.571,amm-fragment02-1664,ACPROSE,static stop stationary rigid
1265,6293,"<b>Canals</b> within the algae stand out as rods in this kind of preservation, which is common in Ordovician rocks.",0.529,amm-fragment02-1669,ACPROSE,Ridges Rivers Channels Veins Aqueducts
1266,6294,<b>Related</b> forms are spread over much of the world in Ordovician and Silurian times.,0.286,amm-fragment02-1671,ACPROSE,Connected Similar Linked Associated
